,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
92,20,1,3:19.643,0,41.1,3:19.643,2020-11-10 12:23:19.643,Mitch EVANS,0:01:45.554,,3,Panasonic Jaguar Racing,JAGUAR,25.7222,55.0,3.21869,259.0
93,20,2,1:23.098,0,98.6,4:42.741,2020-11-10 12:24:42.741,Mitch EVANS,,,3,Panasonic Jaguar Racing,JAGUAR,25.77775,55.2778,3.21869,241.5
94,20,3,1:08.356,2,119.9,5:51.097,2020-11-10 12:25:51.097,Mitch EVANS,,,3,Panasonic Jaguar Racing,JAGUAR,25.8611,55.5556,8.046745,233.0
95,28,1,1:30.567,0,90.5,1:30.567,2020-11-10 12:21:30.567,Antonio Felix DA COSTA,0:00:13.576,,3,Andretti Formula E,ANDRETTI,25.8333,55.5556,3.21869,224.0
96,28,2,1:11.094,0,115.3,2:41.661,2020-11-10 12:22:41.661,Antonio Felix DA COSTA,,,3,Andretti Formula E,ANDRETTI,,,,
97,28,3,1:09.085,2,118.7,3:50.746,2020-11-10 12:23:50.746,Antonio Felix DA COSTA,,,3,Andretti Formula E,ANDRETTI,25.7222,55.0,3.21869,259.0
98,37,1,1:35.543,0,85.8,1:35.543,2020-11-10 12:21:35.543,José Maria LOPEZ,0:00:09.986,,3,DS Virgin Racing,VIRGIN,25.8333,55.5556,3.21869,224.0
99,37,2,1:20.518,0,101.8,2:56.061,2020-11-10 12:22:56.061,José Maria LOPEZ,,,3,DS Virgin Racing,VIRGIN,,,,
100,37,3,1:07.854,4,120.8,4:03.915,2020-11-10 12:24:03.915,José Maria LOPEZ,,,3,DS Virgin Racing,VIRGIN,25.77775,55.2778,3.21869,241.5
101,88,1,2:23.802,0,57.0,2:23.802,2020-11-10 12:22:23.802,Oliver TURVEY,0:00:50.276,,3,NEXTEV NIO,NEXTEV,25.7222,55.0,3.21869,259.0
102,88,2,1:24.280,0,97.3,3:48.082,2020-11-10 12:23:48.082,Oliver TURVEY,,,3,NEXTEV NIO,NEXTEV,25.7222,55.0,3.21869,259.0
103,88,3,1:08.142,2,120.3,4:56.224,2020-11-10 12:24:56.224,Oliver TURVEY,,,3,NEXTEV NIO,NEXTEV,25.77775,55.2778,3.21869,241.5
104,2,1,1:29.575,0,91.5,1:29.575,2020-11-10 12:31:29.575,Sam BIRD,0:00:06.980,,4,DS Virgin Racing,VIRGIN,25.9444,55.5556,6.43738,318.0
105,2,2,1:21.150,0,101.0,2:50.725,2020-11-10 12:32:50.725,Sam BIRD,,,4,DS Virgin Racing,VIRGIN,,,,
106,2,3,1:07.805,4,120.9,3:58.530,2020-11-10 12:33:58.530,Sam BIRD,,,4,DS Virgin Racing,VIRGIN,25.9444,55.5556,4.828035,291.5
107,25,1,2:16.795,0,59.9,2:16.795,2020-11-10 12:32:16.795,Jean-Eric VERGNE,0:00:47.112,,4,TECHEETAH,TECHEETAH,25.9444,55.5556,3.21869,265.0
108,25,2,1:19.829,0,102.7,3:36.624,2020-11-10 12:33:36.624,Jean-Eric VERGNE,,,4,TECHEETAH,TECHEETAH,25.9444,55.5556,3.21869,265.0
109,25,3,1:07.993,2,120.6,4:44.617,2020-11-10 12:34:44.617,Jean-Eric VERGNE,,,4,TECHEETAH,TECHEETAH,25.9444,55.5556,4.828035,291.5
110,27,1,2:09.329,0,63.4,2:09.329,2020-11-10 12:32:09.329,Robin FRIJNS,0:00:41.851,,4,Andretti Formula E,ANDRETTI,25.9444,55.5556,3.21869,265.0
111,27,2,1:16.663,0,106.9,3:25.992,2020-11-10 12:33:25.992,Robin FRIJNS,,,4,Andretti Formula E,ANDRETTI,25.9444,55.5556,3.21869,265.0
112,27,3,1:08.583,2,119.5,4:34.575,2020-11-10 12:34:34.575,Robin FRIJNS,,,4,Andretti Formula E,ANDRETTI,25.9444,55.5556,4.828035,291.5
113,6,1,1:38.015,0,83.6,1:38.015,2020-11-10 12:31:38.015,Loïc DUVAL,0:00:11.417,,4,Faraday Future Dragon Racing,FARADAY,25.9444,55.5556,6.43738,318.0
114,6,2,1:20.675,0,101.6,2:58.690,2020-11-10 12:32:58.690,Loïc DUVAL,,,4,Faraday Future Dragon Racing,FARADAY,,,,
115,6,3,1:08.483,2,119.7,4:07.173,2020-11-10 12:34:07.173,Loïc DUVAL,,,4,Faraday Future Dragon Racing,FARADAY,25.9444,55.5556,4.828035,291.5
116,7,1,2:22.870,0,57.4,2:22.870,2020-11-10 12:32:22.870,Jérôme D'AMBROSIO,0:01:04.959,,4,Faraday Future Dragon Racing,FARADAY,25.9444,55.5556,3.21869,265.0
117,7,2,1:16.927,0,106.6,3:39.797,2020-11-10 12:33:39.797,Jérôme D'AMBROSIO,,,4,Faraday Future Dragon Racing,FARADAY,25.9444,55.5556,3.21869,265.0
118,7,3,1:08.552,2,119.6,4:48.349,2020-11-10 12:34:48.349,Jérôme D'AMBROSIO,,,4,Faraday Future Dragon Racing,FARADAY,25.9444,55.5556,4.828035,291.5
